idx,question,gold_answer,rag_answer,off_topic,score_0_10,latency_s
1,How do I create a FOREO user account?,"Creating a FOREO user account is simple and can be done through the FOREO mobile app. Here’s how: Download the FOREO App. Open the app and tap ""Sign Up"". Enter your email, create a password, and provide your details. Verify your email using the code sent to your inbox. Log in and register your FOREO device","1) Creating a FOREO user account is simple; 2) can be done through the FOREO mobile app; 3) Here’s how: Download the FOREO App; 4) Open the app; 5) tap ""Sign Up""",False,8.24,9.357
2,How do I change my password?,"If you remember your current password, log into your account via the app, and click on the “Me” icon in the bottom right corner. When you scroll down select the option “Change Password”. If you forgot the password, try logging in to your account via app or the website, and select ""Forgot your password?"". Enter your registered email address and submit, check your email for a password reset code and use it to create a new password and log in again.","1) If you remember your current password, log into your account via the app,; 2) click on the “Me” icon in the bottom right corner; 3) When you scroll down select the option “Change Password”; 4) If you forgot the password, try logging in to your account via app or the website,; 5) select ""Forgot your password?""",False,8.52,4.685
3,I cannot login to my account. What should I do?,"Make sure that you’re trying to log in with the correct email address. In case you’re trying to log in with a different email than the one you registered with, you won’t be able to log in. In case you logged in with your AppleID, you will only be able to log in with it in the future. In case you’re trying to log in with your personal email, it won’t be accepted. If you’re still not able to log in, feel free to contact us by clicking on this link","Make sure that you’re trying to log in with the correct email address. In case you’re trying to log in with a different email than the one you registered with, you won’t be able to log in.",False,8.35,4.326
4,Where can I find my orders/purchase history?,Log in/open FOREO For You App — go to the “Me” icon in the bottom right corner — click on “My orders”. There you will have a list of all the orders connected with your FOREO account. *In case you created the order as anonymous/guest your purchase won’t be shown in your order history.,Log in/open FOREO For You App — go to the “Me” icon in the bottom right corner — click on “My orders”. There you will have a list of all the orders connected with your FOREO account. *In case you created the order as anonymous/guest your purchase won’t be shown in your order history.,False,10.0,4.327
5,How can I delete my account?,"Log into your account via the app, and click on the “Me” icon in the bottom right corner. When you scroll down, select the option “Account Cancellation”, and you will receive a form to contact our Customer Care team who will delete your account.","1) Log into your account via the app,; 2) click on the “Me” icon in the bottom right corner; 3) when you scroll down, select the option “Account Cancellation”,; 4) you will receive a form to contact our Customer Care team who will delete your account",False,9.46,3.946
6,What is FAQ Subscription?,"FAQ Subscription is an additional paid subscription service in FOREO For You and FAQ Swiss apps that provides current and new FOREO and FAQ customers with new or extended features and benefits. It is divided into three tiers: FAQ Essential, FAQ Care and FAQ Care Plus. Each tier has its own additional benefits offered. Important: FAQ subscription is not mandatory for using the device, it is offering additional benefits.","FAQ Subscription is an additional paid subscription service in FOREO For You and FAQ Swiss apps that provides current and new FOREO and FAQ customers with new or extended features and benefits. It is divided into three tiers: FAQ Essential, FAQ Care and FAQ Care Plus.",False,9.39,4.143
7,How do I change/update my card information for my FAQ Subscription?,"You can update your payment method information following these steps: Log in to your FOREO account. Go to the device with a subscription. Click on the “Care Plus FAQ” option. At the bottom, select ""Manage plan"". A page will open where you can check the last 4 digits of your card, on the right side click ""Edit"". Click ""Update Payment Method"", enter the required information, then select ""Confirm"" and that's it","1) You can update your payment method information following these steps: Log in to your FOREO account; 2) Go to the device with a subscription; 3) Click on the ""Care Plus FAQ"" option; 4) At the bottom, select ""Manage plan""; 5) A page will open where you can check the last 4 digits of your card, on the right side click ""Edit""",False,8.99,4.062
8,I am unable to place an order. What can I do?,"Please try the following if you are unable to place an order: - Please check if all your card details were inserted correctly and if your card is valid. - Try the payment process again to see if it goes through. - Place an order using a computer instead of a smartphone/tablet. - Try Mozilla Firefox, as our website tends to work best with this internet browser. - If your payment is still not successful, please contact our support and provide us with a screenshot.","Please try the following if you are unable to place an order: • Try the payment process again to see if it goes through. • Place an order using a computer instead of a smart phone/tablet. • Try Mozilla Firefox as our website tends to work best with this internet browser. • If your payment is still not successful, please contact our Help Desk and provide us with a screen shot.",False,9.05,3.995
9,Can I cancel my order once it has been placed?,"Unfortunately, you won’t be able to cancel your order on your own. If you wish to cancel it, you can contact our support team and check if it is still possible to do so. In case your order has already been shipped, we are unable to cancel it at this stage, but you can refuse the package or return it to us after it has been received. It should be returned to us unopened within 14 days from the date of delivery. Please contact us with the picture of the unopened package and your order number.","Unfortunately, you won’t be able to cancel your order on your own. If you wish to cancel it, you can contact our support team and check if it is still possible to do so.",False,8.23,4.27
10,What are the accepted payment methods?,"FOREO accepts the following forms of payment for online purchases: For delivery to European Union countries: Visa, Mastercard / Eurocard For delivery outside the European Union: Major credit cards including Visa, Mastercard, American Express, Diner’s Club, Discovery. As soon as your purchase has been verified, an order confirmation will be emailed to you.",The following is a sentence that is not correct: The following is a sentence that is correct: The following is a sentence that is not correct: The following is a sentence that is correct: The following is a sentence that is not correct: The following is a sentence that is correct: The following is a sentence that is not correct: The following is a sentence that is correct: The following is a sentence that is not correct: The following is a,False,0.44,4.193
